state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
BG,Overall,2020-02-16,6.556,68.567,-3.022,16.647,15.671,3.96
BG,Overall,2020-02-17,4.884,22.16,-1.736,3.721,8.427,3.356
BG,Overall,2020-02-18,4.356,26.502,-1.728,4.116,7.749,3.247
BG,Overall,2020-02-19,2.201,14.681,-1.134,1.378,5.238,2.643
BG,Overall,2020-02-20,-0.829,-9.584,-0.302,-2.612,2.945,2.297
BG,Overall,2020-02-21,3.853,-0.725,-1.108,-0.44,5.903,2.721
BG,Overall,2020-02-22,-1.216,-7.212,0.048,0.787,3.286,-0.885
BG,Overall,2020-02-23,2.804,61.317,-2.674,13.238,14.362,4.167
BG,Overall,2020-02-24,-0.403,4.029,-0.651,-1.793,4.544,2.623
BG,Overall,2020-02-25,4.256,24.22,-1.406,2.925,8.018,3.267
BG,Overall,2020-02-26,6.554,29.112,-1.711,4.875,11.125,3.002
BG,Overall,2020-02-27,4.318,-2.58,-0.56,-1.678,8.612,2.571
BG,Overall,2020-02-28,5.154,-2.385,-0.853,-3.214,10.26,2.397
BG,Overall,2020-02-29,9.166,-3.419,-0.271,0.31,8.695,3.17
BG,Overall,2020-03-01,8.154,70.815,-3.85,14.129,16.49,8.207
BG,Overall,2020-03-02,6.55,40.09,-0.253,7.406,5.389,-8.57
BG,Overall,2020-03-03,-2.094,86.214,11.768,3.218,-17.563,-60.128
BG,Overall,2020-03-04,-0.15,3.503,-0.065,-2.974,6.832,-0.27
BG,Overall,2020-03-05,5.194,2.013,0.147,0.956,7.807,-1.612
BG,Overall,2020-03-06,4.973,14.1,1.157,2.173,5.078,-9.507
BG,Overall,2020-03-07,7.214,12.695,-1.415,5.411,4.248,4.285
BG,Overall,2020-03-08,13.317,12.112,-1.931,12.795,0.246,5.077
BG,Overall,2020-03-09,5.367,-6.36,3.625,-9.423,-7.978,-14.276
BG,Overall,2020-03-10,2.871,-15.478,4.85,-12.093,-9.546,-15.076
BG,Overall,2020-03-11,8.871,17.878,3.424,-4.521,-6.049,-13.84
BG,Overall,2020-03-12,10.975,46.39,1.25,-1.726,-2.25,-9.23
BG,Overall,2020-03-13,23.65,21.044,2.939,-14.202,-9.435,-12.548
BG,Overall,2020-03-14,-0.879,-19.396,6.577,-51.843,-27.645,-16.988
BG,Overall,2020-03-15,-24.957,-49.149,8.882,-67.91,-46.646,-26.919
BG,Overall,2020-03-16,-18.209,-21.93,14.244,-50.092,-41.767,-34.543
BG,Overall,2020-03-17,-23.828,-21.306,16.125,-54.126,-48.212,-40.911
BG,Overall,2020-03-18,-25.176,-25.302,17.448,-55.364,-50.873,-43.247
BG,Overall,2020-03-19,-26.436,-13.129,16.657,-54.376,-50.229,-43.54
BG,Overall,2020-03-20,-24.739,-20.483,17.493,-56.14,-49.908,-43.483
BG,Overall,2020-03-21,-33.795,-45.867,12.864,-66.441,-53.763,-32.063
BG,Overall,2020-03-22,-39.864,-45.918,11.812,-71.358,-61.581,-32.507
BG,Overall,2020-03-23,-36.86,-56.38,21.843,-64.661,-62.479,-48.35
BG,Overall,2020-03-24,-39.306,-58.942,23.351,-67.572,-65.213,-50.916
BG,Overall,2020-03-25,-33.5,-53.441,22.545,-63.581,-63.051,-49.34
BG,Overall,2020-03-26,-32.129,-47.638,21.606,-61.853,-60.925,-48.71
BG,Overall,2020-03-27,-29.136,-44.755,22.244,-60.506,-58.595,-46.528
BG,Overall,2020-03-28,-32.498,-46.771,14.425,-65.026,-57.048,-33.058
BG,Overall,2020-03-29,-35.97,-31.726,10.981,-66.239,-58.103,-29.522
